Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Fiji,2007,Male,21.6 [20.81-22.44]
Fiji,2007,Female,18.33 [17.63-19.1]
Fiji,2006,Both sexes,19.8 [19.24-20.41]
Fiji,2006,Male,21.36 [20.58-22.18]
Fiji,2006,Female,18.17 [17.45-18.91]
Fiji,2005,Both sexes,19.53 [18.97-20.12]
Fiji,2005,Male,21.07 [20.29-21.86]
Fiji,2005,Female,17.92 [17.22-18.66]
Fiji,2004,Both sexes,19.26 [18.69-19.85]
Fiji,2004,Male,20.78 [19.99-21.56]
Fiji,2004,Female,17.68 [16.97-18.4]
Fiji,2003,Both sexes,19.08 [18.49-19.68]
Fiji,2003,Male,20.58 [19.78-21.37]
Fiji,2003,Female,17.52 [16.8-18.25]
Fiji,2002,Both sexes,19.04 [18.41-19.66]
Fiji,2002,Male,20.53 [19.7-21.33]
Fiji,2002,Female,17.47 [16.73-18.23]
Fiji,2001,Both sexes,19.12 [18.41-19.83]
Fiji,2001,Male,20.63 [19.72-21.52]
Fiji,2001,Female,17.53 [16.71-18.36]
Fiji,2000,Both sexes,19.3 [18.42-20.19]
Fiji,2000,Male,20.85 [19.77-21.91]
Fiji,2000,Female,17.67 [16.73-18.66]
Fiji,1999,Both sexes,19.56 [18.44-20.73]
Fiji,1999,Male,21.13 [19.8-22.51]
Fiji,1999,Female,17.89 [16.76-19.12]
Fiji,1998,Both sexes,19.85 [18.44-21.37]
Fiji,1998,Male,21.47 [19.82-23.21]
Fiji,1998,Female,18.15 [16.77-19.69]
Fiji,1997,Both sexes,20.17 [18.45-22.07]
Fiji,1997,Male,21.82 [19.89-23.95]
Fiji,1997,Female,18.42 [16.76-20.28]
Fiji,1996,Both sexes,20.51 [18.51-22.8]
Fiji,1996,Male,22.2 [19.96-24.78]
Fiji,1996,Female,18.72 [16.8-20.92]
Fiji,1995,Both sexes,20.9 [18.61-23.56]
Fiji,1995,Male,22.62 [20.1-25.59]
Fiji,1995,Female,19.09 [16.9-21.58]
Fiji,1994,Both sexes,21.37 [18.81-24.39]
Fiji,1994,Male,23.14 [20.32-26.49]
Fiji,1994,Female,19.52 [17.08-22.34]
Fiji,1993,Both sexes,21.94 [19.15-25.25]
Fiji,1993,Male,23.75 [20.68-27.47]
Fiji,1993,Female,20.05 [17.38-23.14]
Fiji,1992,Both sexes,22.6 [19.57-26.18]
Fiji,1992,Male,24.48 [21.15-28.43]
Fiji,1992,Female,20.64 [17.8-23.98]
Fiji,1991,Both sexes,23.35 [20.11-27.11]
Fiji,1991,Male,25.3 [21.75-29.5]
Fiji,1991,Female,21.29 [18.26-24.84]
Fiji,1990,Both sexes,24.17 [20.74-28.14]
Fiji,1990,Male,26.18 [22.45-30.56]
Fiji,1990,Female,22.06 [18.86-25.76]
Fiji,1989,Both sexes,25.05 [21.49-29.11]
Fiji,1989,Male,27.14 [23.24-31.7]
Fiji,1989,Female,22.86 [19.49-26.63]
Fiji,1988,Both sexes,25.93 [22.26-30.07]
Fiji,1988,Male,28.1 [24.07-32.71]
Fiji,1988,Female,23.69 [20.21-27.55]
Fiji,1987,Both sexes,26.84 [23.03-31.07]
Fiji,1987,Male,29.06 [24.91-33.81]
Fiji,1987,Female,24.5 [20.94-28.47]
Fiji,1986,Both sexes,27.79 [23.86-32.2]
Fiji,1986,Male,30.12 [25.74-35]
Fiji,1986,Female,25.39 [21.68-29.45]
Fiji,1985,Both sexes,28.81 [24.76-33.38]
Fiji,1985,Male,31.21 [26.71-36.24]
Fiji,1985,Female,26.32 [22.49-30.55]
Fiji,1984,Both sexes,29.9 [25.72-34.68]
Fiji,1984,Male,32.38 [27.69-37.68]
Fiji,1984,Female,27.33 [23.39-31.79]
Fiji,1983,Both sexes,31.1 [26.74-36.07]
Fiji,1983,Male,33.72 [28.82-39.18]
Fiji,1983,Female,28.44 [24.35-33.1]
Fiji,1982,Both sexes,32.46 [27.98-37.53]
Fiji,1982,Male,35.17 [30.18-40.8]
Fiji,1982,Female,29.67 [25.44-34.47]
Fiji,1981,Both sexes,33.94 [29.34-39.16]
Fiji,1981,Male,36.7 [31.63-42.55]
Fiji,1981,Female,31.01 [26.7-35.92]
Fiji,1980,Both sexes,35.52 [30.81-40.79]
Fiji,1980,Male,38.36 [33.2-44.3]
Fiji,1980,Female,32.44 [28.08-37.5]
Fiji,1979,Both sexes,37.07 [32.37-42.35]
Fiji,1979,Male,40.06 [34.87-46]
Fiji,1979,Female,33.88 [29.51-38.97]
Fiji,1978,Both sexes,38.58 [33.88-43.91]
Fiji,1978,Male,41.68 [36.53-47.58]
Fiji,1978,Female,35.31 [30.91-40.46]
Fiji,1977,Both sexes,39.96 [35.31-45.28]
Fiji,1977,Male,43.19 [38.01-49.06]
Fiji,1977,Female,36.61 [32.17-41.66]
Fiji,1976,Both sexes,41.16 [36.49-46.43]
Fiji,1976,Male,44.49 [39.3-50.29]
Fiji,1976,Female,37.7 [33.26-42.69]
Fiji,1975,Both sexes,42.15 [37.53-47.29]
Fiji,1975,Male,45.57 [40.33-51.23]
Fiji,1975,Female,38.6 [34.18-43.59]
Fiji,1974,Both sexes,42.91 [38.33-47.98]
Fiji,1974,Male,46.41 [41.22-51.92]
Fiji,1974,Female,39.32 [34.88-44.27]
Fiji,1973,Both sexes,43.47 [38.9-48.51]
Fiji,1973,Male,46.99 [41.87-52.49]
Fiji,1973,Female,39.81 [35.4-44.75]
Fiji,1972,Both sexes,43.92 [39.4-48.9]
Fiji,1972,Male,47.44 [42.4-52.91]
Fiji,1972,Female,40.18 [35.79-45.12]
Fiji,1971,Both sexes,44.29 [39.77-49.24]
Fiji,1971,Male,47.88 [42.84-53.31]
Fiji,1971,Female,40.51 [36.15-45.44]
Fiji,1970,Both sexes,44.71 [40.23-49.57]
Fiji,1970,Male,48.33 [43.3-53.73]
Fiji,1970,Female,40.9 [36.54-45.76]
Fiji,1969,Both sexes,45.21 [40.72-50.07]
Fiji,1969,Male,48.87 [43.9-54.29]
Fiji,1969,Female,41.39 [37-46.22]
Fiji,1968,Both sexes,45.84 [41.38-50.75]
Fiji,1968,Male,49.54 [44.53-55.05]
Fiji,1968,Female,42.03 [37.58-46.79]
Fiji,1967,Both sexes,46.69 [42.14-51.58]
Fiji,1967,Male,50.38 [45.33-55.91]
Fiji,1967,Female,42.8 [38.36-47.62]
Fiji,1966,Both sexes,47.67 [43.12-52.62]
Fiji,1966,Male,51.43 [46.35-56.99]
Fiji,1966,Female,43.72 [39.22-48.59]
Fiji,1965,Both sexes,48.84 [44.26-53.78]
Fiji,1965,Male,52.66 [47.53-58.29]
Fiji,1965,Female,44.81 [40.21-49.67]
Fiji,1964,Both sexes,50.19 [45.57-55.16]
Fiji,1964,Male,54.09 [48.94-59.72]
Fiji,1964,Female,46.04 [41.46-50.92]
Fiji,1963,Both sexes,51.72 [46.99-56.7]
Fiji,1963,Male,55.73 [50.48-61.44]
Fiji,1963,Female,47.49 [42.84-52.49]
Fiji,1962,Both sexes,53.43 [48.68-58.46]
Fiji,1962,Male,57.54 [52.19-63.32]
Fiji,1962,Female,49.09 [44.33-54.1]
Fiji,1961,Both sexes,55.33 [50.45-60.55]
Fiji,1961,Male,59.53 [54.04-65.49]
Fiji,1961,Female,50.85 [45.95-56]
Fiji,1960,Both sexes,57.45 [52.45-62.9]
Fiji,1960,Male,61.8 [56.16-68.03]
Fiji,1960,Female,52.84 [47.8-58.23]
Fiji,1959,Both sexes,59.87 [54.62-65.53]
Fiji,1959,Male,64.32 [58.42-70.79]
