Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Italy,1958,Male,50.9 [49.9-51.95]
Italy,1958,Female,42.66 [41.79-43.58]
Italy,1957,Both sexes,48.06 [47.16-48.95]
Italy,1957,Male,52.04 [51.02-53.06]
Italy,1957,Female,43.88 [43.02-44.74]
Italy,1956,Both sexes,49.39 [48.38-50.4]
Italy,1956,Male,53.33 [52.2-54.46]
Italy,1956,Female,45.25 [44.28-46.21]
Italy,1955,Both sexes,51.23 [50.16-52.3]
Italy,1955,Male,55.24 [54.05-56.44]
Italy,1955,Female,46.99 [45.98-48.03]
Italy,1954,Both sexes,53.71 [52.59-54.83]
Italy,1954,Male,57.89 [56.64-59.12]
Italy,1954,Female,49.32 [48.25-50.4]
Italy,1953,Both sexes,56.94 [55.8-58.11]
Italy,1953,Male,60.98 [59.73-62.27]
Italy,1953,Female,52.7 [51.58-53.82]
Italy,1952,Both sexes,60.94 [59.62-62.31]
Italy,1952,Male,65.06 [63.61-66.58]
Italy,1952,Female,56.6 [55.33-57.93]
Italy,1951,Both sexes,65.58 [63.44-67.84]
Italy,1951,Male,69.88 [67.55-72.32]
Italy,1951,Female,61.09 [59.07-63.22]
Italy,1950,Both sexes,70.71 [67.04-74.81]
Italy,1950,Male,75.25 [71.26-79.62]
Italy,1950,Female,65.98 [62.48-69.81]
Jamaica,2019,Both sexes,11.93 [6.83-20.49]
Jamaica,2019,Male,13.3 [7.63-22.93]
Jamaica,2019,Female,10.48 [5.98-18.13]
Jamaica,2018,Both sexes,12.3 [7.32-20.62]
Jamaica,2018,Male,13.72 [8.19-22.97]
Jamaica,2018,Female,10.81 [6.4-18.27]
Jamaica,2017,Both sexes,12.68 [7.81-20.76]
Jamaica,2017,Male,14.16 [8.74-23.1]
Jamaica,2017,Female,11.13 [6.83-18.24]
Jamaica,2016,Both sexes,13.07 [8.3-20.68]
Jamaica,2016,Male,14.61 [9.28-23.13]
Jamaica,2016,Female,11.44 [7.25-18.2]
Jamaica,2015,Both sexes,13.43 [8.86-20.53]
Jamaica,2015,Male,15.02 [9.88-23.01]
Jamaica,2015,Female,11.8 [7.75-18.2]
Jamaica,2014,Both sexes,13.89 [9.48-20.48]
Jamaica,2014,Male,15.5 [10.59-22.94]
Jamaica,2014,Female,12.17 [8.26-18.05]
Jamaica,2013,Both sexes,14.32 [10.12-20.48]
Jamaica,2013,Male,15.99 [11.29-22.97]
Jamaica,2013,Female,12.56 [8.81-18.01]
Jamaica,2012,Both sexes,14.75 [10.77-20.39]
Jamaica,2012,Male,16.45 [11.98-22.85]
Jamaica,2012,Female,12.9 [9.36-17.96]
Jamaica,2011,Both sexes,15.15 [11.36-20.38]
Jamaica,2011,Male,16.93 [12.7-22.8]
Jamaica,2011,Female,13.26 [9.91-17.9]
Jamaica,2010,Both sexes,15.54 [11.99-20.37]
Jamaica,2010,Male,17.38 [13.39-22.84]
Jamaica,2010,Female,13.6 [10.44-17.9]
Jamaica,2009,Both sexes,15.9 [12.58-20.32]
Jamaica,2009,Male,17.81 [14.02-22.79]
Jamaica,2009,Female,13.91 [10.96-17.87]
Jamaica,2008,Both sexes,16.24 [13.08-20.29]
Jamaica,2008,Male,18.2 [14.62-22.7]
Jamaica,2008,Female,14.21 [11.38-17.88]
Jamaica,2007,Both sexes,16.51 [13.51-20.23]
Jamaica,2007,Male,18.49 [15.08-22.67]
Jamaica,2007,Female,14.45 [11.74-17.83]
Jamaica,2006,Both sexes,16.74 [13.91-20.15]
Jamaica,2006,Male,18.74 [15.52-22.63]
Jamaica,2006,Female,14.63 [12.07-17.76]
Jamaica,2005,Both sexes,16.97 [14.27-20.15]
Jamaica,2005,Male,18.99 [15.95-22.66]
Jamaica,2005,Female,14.81 [12.36-17.72]
Jamaica,2004,Both sexes,17.2 [14.61-20.28]
Jamaica,2004,Male,19.26 [16.33-22.73]
Jamaica,2004,Female,15.02 [12.66-17.8]
Jamaica,2003,Both sexes,17.49 [14.97-20.42]
Jamaica,2003,Male,19.6 [16.72-22.94]
Jamaica,2003,Female,15.26 [12.99-17.96]
Jamaica,2002,Both sexes,17.84 [15.35-20.68]
Jamaica,2002,Male,19.97 [17.12-23.26]
Jamaica,2002,Female,15.58 [13.32-18.21]
Jamaica,2001,Both sexes,18.26 [15.77-21.06]
Jamaica,2001,Male,20.44 [17.61-23.69]
Jamaica,2001,Female,15.95 [13.68-18.52]
Jamaica,2000,Both sexes,18.74 [16.25-21.53]
Jamaica,2000,Male,20.97 [18.14-24.21]
Jamaica,2000,Female,16.38 [14.12-18.96]
Jamaica,1999,Both sexes,19.28 [16.78-22.09]
Jamaica,1999,Male,21.6 [18.71-24.84]
Jamaica,1999,Female,16.86 [14.57-19.42]
Jamaica,1998,Both sexes,19.85 [17.36-22.73]
Jamaica,1998,Male,22.22 [19.31-25.55]
Jamaica,1998,Female,17.36 [15.05-20.02]
Jamaica,1997,Both sexes,20.47 [17.93-23.45]
Jamaica,1997,Male,22.9 [19.94-26.35]
Jamaica,1997,Female,17.9 [15.55-20.65]
Jamaica,1996,Both sexes,21.11 [18.5-24.18]
Jamaica,1996,Male,23.61 [20.62-27.15]
Jamaica,1996,Female,18.47 [16.07-21.33]
Jamaica,1995,Both sexes,21.78 [19.12-24.96]
Jamaica,1995,Male,24.32 [21.24-28.03]
Jamaica,1995,Female,19.08 [16.6-22.05]
Jamaica,1994,Both sexes,22.46 [19.69-25.75]
Jamaica,1994,Male,25.08 [21.88-28.94]
Jamaica,1994,Female,19.69 [17.11-22.77]
Jamaica,1993,Both sexes,23.15 [20.24-26.6]
Jamaica,1993,Male,25.84 [22.5-29.85]
Jamaica,1993,Female,20.31 [17.59-23.55]
Jamaica,1992,Both sexes,23.83 [20.79-27.54]
Jamaica,1992,Male,26.59 [23.09-30.86]
Jamaica,1992,Female,20.94 [18.1-24.35]
Jamaica,1991,Both sexes,24.55 [21.31-28.47]
Jamaica,1991,Male,27.35 [23.71-31.93]
Jamaica,1991,Female,21.58 [18.58-25.2]
Jamaica,1990,Both sexes,25.26 [21.87-29.43]
Jamaica,1990,Male,28.12 [24.29-33.01]
Jamaica,1990,Female,22.21 [19.09-26.06]
Jamaica,1989,Both sexes,25.97 [22.42-30.38]
Jamaica,1989,Male,28.87 [24.82-34.06]
Jamaica,1989,Female,22.87 [19.62-26.86]
Jamaica,1988,Both sexes,26.69 [22.97-31.29]
Jamaica,1988,Male,29.64 [25.42-35.03]
Jamaica,1988,Female,23.53 [20.09-27.74]
Jamaica,1987,Both sexes,27.42 [23.54-32.17]
Jamaica,1987,Male,30.46 [26.06-35.99]
Jamaica,1987,Female,24.2 [20.58-28.53]
Jamaica,1986,Both sexes,28.15 [24.1-33.08]
Jamaica,1986,Male,31.26 [26.71-37.01]
Jamaica,1986,Female,24.87 [21.07-29.31]
Jamaica,1985,Both sexes,28.91 [24.69-33.97]
Jamaica,1985,Male,32.07 [27.35-37.87]
Jamaica,1985,Female,25.54 [21.67-30.11]
Jamaica,1984,Both sexes,29.65 [25.33-34.73]
Jamaica,1984,Male,32.9 [28-38.69]
Jamaica,1984,Female,26.22 [22.2-30.92]
Jamaica,1983,Both sexes,30.42 [25.99-35.55]
Jamaica,1983,Male,33.75 [28.74-39.54]
Jamaica,1983,Female,26.93 [22.78-31.66]
Jamaica,1982,Both sexes,31.22 [26.72-36.39]
Jamaica,1982,Male,34.62 [29.49-40.44]
Jamaica,1982,Female,27.67 [23.47-32.49]
Jamaica,1981,Both sexes,32.05 [27.43-37.19]
Jamaica,1981,Male,35.49 [30.25-41.32]
Jamaica,1981,Female,28.44 [24.15-33.22]
Jamaica,1980,Both sexes,32.88 [28.26-38.05]
Jamaica,1980,Male,36.38 [31.14-42.2]
Jamaica,1980,Female,29.23 [24.91-34.01]
Jamaica,1979,Both sexes,33.78 [29.09-38.8]
Jamaica,1979,Male,37.31 [32.09-43.08]
Jamaica,1979,Female,30.06 [25.68-34.76]
Jamaica,1978,Both sexes,34.68 [29.99-39.6]
Jamaica,1978,Male,38.28 [33.03-43.94]
Jamaica,1978,Female,30.89 [26.53-35.52]
Jamaica,1977,Both sexes,35.67 [30.97-40.51]
Jamaica,1977,Male,39.31 [34.03-44.88]
Jamaica,1977,Female,31.76 [27.38-36.4]
Jamaica,1976,Both sexes,36.67 [32-41.4]
Jamaica,1976,Male,40.4 [35.12-45.87]
Jamaica,1976,Female,32.71 [28.28-37.3]
Jamaica,1975,Both sexes,37.76 [33.11-42.47]
Jamaica,1975,Male,41.54 [36.34-46.99]
Jamaica,1975,Female,33.69 [29.28-38.2]
Jamaica,1974,Both sexes,38.92 [34.35-43.62]
Jamaica,1974,Male,42.8 [37.66-48.27]
Jamaica,1974,Female,34.76 [30.44-39.32]
Jamaica,1973,Both sexes,40.18 [35.71-44.9]
Jamaica,1973,Male,44.15 [39.07-49.7]
Jamaica,1973,Female,35.92 [31.64-40.58]
Jamaica,1972,Both sexes,41.53 [37.07-46.3]
Jamaica,1972,Male,45.59 [40.48-51.14]
Jamaica,1972,Female,37.21 [32.88-41.92]
Jamaica,1971,Both sexes,42.95 [38.45-47.84]
Jamaica,1971,Male,47.1 [41.92-52.75]
Jamaica,1971,Female,38.58 [34.16-43.28]
Jamaica,1970,Both sexes,44.39 [39.81-49.35]
Jamaica,1970,Male,48.62 [43.38-54.42]
Jamaica,1970,Female,39.93 [35.47-44.79]
Jamaica,1969,Both sexes,45.8 [41.15-50.87]
Jamaica,1969,Male,50.08 [44.76-55.99]
Jamaica,1969,Female,41.27 [36.74-46.16]
Jamaica,1968,Both sexes,47.22 [42.45-52.37]
Jamaica,1968,Male,51.59 [46.16-57.53]
Jamaica,1968,Female,42.63 [38.02-47.65]
Jamaica,1967,Both sexes,48.65 [43.83-53.88]
Jamaica,1967,Male,53.04 [47.53-59.13]
Jamaica,1967,Female,44.01 [39.31-49.15]
Jamaica,1966,Both sexes,50.11 [45.22-55.42]
Jamaica,1966,Male,54.57 [49.02-60.81]
Jamaica,1966,Female,45.38 [40.56-50.63]
Jamaica,1965,Both sexes,51.62 [46.64-57.06]
Jamaica,1965,Male,56.17 [50.42-62.52]
Jamaica,1965,Female,46.81 [41.86-52.34]
Jamaica,1964,Both sexes,53.21 [48.17-58.94]
Jamaica,1964,Male,57.82 [51.99-64.47]
Jamaica,1964,Female,48.33 [43.3-54.07]
Jamaica,1963,Both sexes,54.91 [49.7-60.92]
Jamaica,1963,Male,59.61 [53.66-66.51]
Jamaica,1963,Female,49.95 [44.85-56.03]
Jamaica,1962,Both sexes,56.79 [51.37-63.15]
Jamaica,1962,Male,61.53 [55.37-68.81]
Jamaica,1962,Female,51.72 [46.45-58.16]
Jamaica,1961,Both sexes,58.84 [53.17-65.64]
Jamaica,1961,Male,63.72 [57.24-71.47]
Jamaica,1961,Female,53.66 [48.1-60.46]
Jamaica,1960,Both sexes,61.11 [55.05-68.36]
Jamaica,1960,Male,66.15 [59.27-74.47]
Jamaica,1960,Female,55.75 [49.79-62.94]
Jamaica,1959,Both sexes,63.54 [57.11-71.37]
Jamaica,1959,Male,68.7 [61.41-77.62]
Jamaica,1959,Female,58.07 [51.67-65.63]
Jamaica,1958,Both sexes,66.15 [59.11-74.64]
Jamaica,1958,Male,71.45 [63.5-81.09]
Jamaica,1958,Female,60.5 [53.58-68.76]
Jamaica,1957,Both sexes,68.88 [61.11-78.28]
Jamaica,1957,Male,74.36 [65.74-84.85]
Jamaica,1957,Female,63.09 [55.51-72.11]
Jamaica,1956,Both sexes,71.77 [63.24-82.3]
Jamaica,1956,Male,77.44 [67.87-89.1]
Jamaica,1956,Female,65.8 [57.48-75.85]
Jamaica,1955,Both sexes,74.88 [65.18-86.65]
Jamaica,1955,Male,80.68 [70.02-93.85]
Jamaica,1955,Female,68.7 [59.44-79.92]
Jamaica,1954,Both sexes,78.07 [67.28-91.44]
Jamaica,1954,Male,84.01 [72.16-98.95]
Jamaica,1954,Female,71.65 [61.35-84.54]
Jamaica,1953,Both sexes,81.37 [69.28-96.97]
Jamaica,1953,Male,87.57 [74.24-104.6]
Jamaica,1953,Female,74.8 [63.23-89.81]
Jamaica,1952,Both sexes,84.86 [71.14-103.3]
Jamaica,1952,Male,91.2 [76.28-111.1]
Jamaica,1952,Female,78.07 [65.06-95.53]
Japan,2019,Both sexes,1.8 [1.71-1.89]
Japan,2019,Male,1.88 [1.79-1.98]
Japan,2019,Female,1.71 [1.62-1.8]
Japan,2018,Both sexes,1.85 [1.79-1.91]
Japan,2018,Male,1.93 [1.86-2]
Japan,2018,Female,1.76 [1.7-1.82]
Japan,2017,Both sexes,1.9 [1.86-1.94]
Japan,2017,Male,1.98 [1.93-2.04]
Japan,2017,Female,1.81 [1.76-1.86]
Japan,2016,Both sexes,1.95 [1.91-1.99]
Japan,2016,Male,2.04 [1.99-2.09]
Japan,2016,Female,1.86 [1.81-1.91]
Japan,2015,Both sexes,2.01 [1.97-2.05]
Japan,2015,Male,2.11 [2.06-2.15]
Japan,2015,Female,1.91 [1.86-1.96]
Japan,2014,Both sexes,2.07 [2.03-2.11]
Japan,2014,Male,2.17 [2.12-2.23]
Japan,2014,Female,1.96 [1.91-2.01]
Japan,2013,Both sexes,2.13 [2.09-2.18]
Japan,2013,Male,2.25 [2.2-2.3]
Japan,2013,Female,2.02 [1.97-2.07]
Japan,2012,Both sexes,2.2 [2.16-2.25]
Japan,2012,Male,2.32 [2.27-2.38]
Japan,2012,Female,2.08 [2.02-2.13]
Japan,2011,Both sexes,2.3 [2.25-2.34]
Japan,2011,Male,2.43 [2.37-2.49]
Japan,2011,Female,2.16 [2.11-2.22]
Japan,2010,Both sexes,2.35 [2.3-2.4]
Japan,2010,Male,2.49 [2.43-2.55]
Japan,2010,Female,2.2 [2.14-2.25]
Japan,2009,Both sexes,2.43 [2.38-2.48]
Japan,2009,Male,2.58 [2.52-2.64]
Japan,2009,Female,2.27 [2.22-2.32]
Japan,2008,Both sexes,2.51 [2.47-2.56]
Japan,2008,Male,2.66 [2.61-2.72]
Japan,2008,Female,2.35 [2.3-2.4]
Japan,2007,Both sexes,2.59 [2.55-2.64]
Japan,2007,Male,2.75 [2.7-2.81]
Japan,2007,Female,2.42 [2.37-2.48]
Japan,2006,Both sexes,2.67 [2.63-2.72]
Japan,2006,Male,2.84 [2.78-2.91]
Japan,2006,Female,2.5 [2.44-2.55]
Japan,2005,Both sexes,2.75 [2.7-2.81]
Japan,2005,Male,2.93 [2.87-3]
Japan,2005,Female,2.57 [2.51-2.62]
Japan,2004,Both sexes,2.84 [2.78-2.89]
Japan,2004,Male,3.02 [2.96-3.08]
Japan,2004,Female,2.64 [2.59-2.7]
Japan,2003,Both sexes,2.92 [2.87-2.98]
Japan,2003,Male,3.11 [3.04-3.18]
Japan,2003,Female,2.73 [2.67-2.79]
Japan,2002,Both sexes,3.02 [2.96-3.08]
Japan,2002,Male,3.22 [3.15-3.29]
Japan,2002,Female,2.81 [2.75-2.88]
Japan,2001,Both sexes,3.14 [3.08-3.2]
Japan,2001,Male,3.35 [3.28-3.43]
Japan,2001,Female,2.91 [2.85-2.98]
Japan,2000,Both sexes,3.28 [3.22-3.34]
Japan,2000,Male,3.51 [3.44-3.58]
Japan,2000,Female,3.04 [2.97-3.1]
Japan,1999,Both sexes,3.43 [3.37-3.5]
Japan,1999,Male,3.68 [3.6-3.76]
Japan,1999,Female,3.17 [3.11-3.25]
Japan,1998,Both sexes,3.6 [3.54-3.67]
Japan,1998,Male,3.86 [3.78-3.94]
Japan,1998,Female,3.33 [3.26-3.4]
Japan,1997,Both sexes,3.78 [3.71-3.85]
Japan,1997,Male,4.06 [3.97-4.14]
Japan,1997,Female,3.48 [3.4-3.56]
Japan,1996,Both sexes,3.95 [3.88-4.02]
Japan,1996,Male,4.26 [4.17-4.35]
Japan,1996,Female,3.62 [3.55-3.71]
Japan,1995,Both sexes,4.11 [4.03-4.19]
Japan,1995,Male,4.44 [4.35-4.54]
Japan,1995,Female,3.76 [3.68-3.84]
Japan,1994,Both sexes,4.24 [4.17-4.33]
Japan,1994,Male,4.6 [4.5-4.69]
Japan,1994,Female,3.88 [3.79-3.97]
Japan,1993,Both sexes,4.35 [4.27-4.43]
Japan,1993,Male,4.7 [4.61-4.8]
Japan,1993,Female,3.98 [3.9-4.07]
Japan,1992,Both sexes,4.43 [4.35-4.52]
Japan,1992,Male,4.79 [4.69-4.89]
Japan,1992,Female,4.07 [3.98-4.15]
Japan,1991,Both sexes,4.51 [4.43-4.59]
Japan,1991,Male,4.84 [4.75-4.94]
Japan,1991,Female,4.15 [4.06-4.24]
Japan,1990,Both sexes,4.58 [4.5-4.67]
Japan,1990,Male,4.93 [4.83-5.03]
Japan,1990,Female,4.21 [4.12-4.3]
Japan,1989,Both sexes,4.68 [4.59-4.77]
Japan,1989,Male,5.03 [4.92-5.14]
Japan,1989,Female,4.31 [4.22-4.4]
Japan,1988,Both sexes,4.81 [4.72-4.9]
Japan,1988,Male,5.18 [5.07-5.28]
Japan,1988,Female,4.43 [4.33-4.52]
Japan,1987,Both sexes,4.99 [4.89-5.09]
Japan,1987,Male,5.38 [5.27-5.49]
Japan,1987,Female,4.58 [4.48-4.68]
Japan,1986,Both sexes,5.22 [5.12-5.32]
Japan,1986,Male,5.64 [5.52-5.75]
Japan,1986,Female,4.78 [4.68-4.88]
Japan,1985,Both sexes,5.5 [5.39-5.6]
Japan,1985,Male,5.98 [5.86-6.1]
Japan,1985,Female,4.99 [4.88-5.09]
Japan,1984,Both sexes,5.81 [5.71-5.92]
Japan,1984,Male,6.36 [6.23-6.49]
Japan,1984,Female,5.24 [5.13-5.35]
Japan,1983,Both sexes,6.17 [6.05-6.28]
Japan,1983,Male,6.76 [6.62-6.89]
Japan,1983,Female,5.55 [5.43-5.66]
Japan,1982,Both sexes,6.55 [6.42-6.67]
Japan,1982,Male,7.2 [7.05-7.35]
Japan,1982,Female,5.86 [5.74-5.99]
Japan,1981,Both sexes,6.95 [6.82-7.09]
Japan,1981,Male,7.68 [7.53-7.84]
Japan,1981,Female,6.19 [6.06-6.32]
Japan,1980,Both sexes,7.38 [7.24-7.52]
Japan,1980,Male,8.17 [8.01-8.33]
Japan,1980,Female,6.55 [6.41-6.69]
Japan,1979,Both sexes,7.83 [7.68-7.98]
Japan,1979,Male,8.71 [8.54-8.88]
Japan,1979,Female,6.91 [6.77-7.06]
Japan,1978,Both sexes,8.32 [8.16-8.47]
Japan,1978,Male,9.26 [9.08-9.44]
Japan,1978,Female,7.33 [7.18-7.48]
Japan,1977,Both sexes,8.84 [8.67-9.01]
Japan,1977,Male,9.87 [9.67-10.06]
Japan,1977,Female,7.76 [7.6-7.92]
Japan,1976,Both sexes,9.4 [9.23-9.58]
Japan,1976,Male,10.51 [10.3-10.71]
Japan,1976,Female,8.23 [8.07-8.4]
Japan,1975,Both sexes,9.99 [9.81-10.18]
Japan,1975,Male,11.2 [10.99-11.43]
Japan,1975,Female,8.72 [8.55-8.9]
Japan,1974,Both sexes,10.61 [10.41-10.81]
Japan,1974,Male,11.91 [11.68-12.15]
Japan,1974,Female,9.24 [9.06-9.44]
Japan,1973,Both sexes,11.24 [11.04-11.45]
Japan,1973,Male,12.63 [12.39-12.88]
Japan,1973,Female,9.79 [9.6-9.99]
Japan,1972,Both sexes,11.9 [11.68-12.13]
Japan,1972,Male,13.39 [13.13-13.66]
Japan,1972,Female,10.34 [10.14-10.56]
Japan,1971,Both sexes,12.61 [12.38-12.84]
Japan,1971,Male,14.15 [13.89-14.43]
Japan,1971,Female,10.98 [10.77-11.2]
Japan,1970,Both sexes,13.36 [13.12-13.61]
Japan,1970,Male,15.02 [14.74-15.31]
Japan,1970,Female,11.62 [11.39-11.85]
Japan,1969,Both sexes,14.2 [13.94-14.46]
Japan,1969,Male,15.94 [15.64-16.25]
Japan,1969,Female,12.37 [12.12-12.61]
Japan,1968,Both sexes,15.15 [14.87-15.42]
Japan,1968,Male,17.02 [16.7-17.34]
Japan,1968,Female,13.18 [12.92-13.44]
Japan,1967,Both sexes,16.25 [15.94-16.56]
Japan,1967,Male,18.2 [17.83-18.54]
Japan,1967,Female,14.21 [13.92-14.5]
Japan,1966,Both sexes,17.57 [17.23-17.91]
Japan,1966,Male,19.62 [19.23-20.01]
Japan,1966,Female,15.42 [15.1-15.73]
Japan,1965,Both sexes,19.13 [18.77-19.5]
Japan,1965,Male,21.34 [20.92-21.77]
Japan,1965,Female,16.82 [16.48-17.16]
Japan,1964,Both sexes,20.98 [20.58-21.38]
Japan,1964,Male,23.27 [22.81-23.73]
Japan,1964,Female,18.57 [18.2-18.95]
Japan,1963,Both sexes,23.11 [22.69-23.52]
Japan,1963,Male,25.51 [25.03-25.99]
Japan,1963,Female,20.59 [20.19-20.99]
Japan,1962,Both sexes,25.46 [24.99-25.94]
Japan,1962,Male,28.02 [27.49-28.57]
Japan,1962,Female,22.77 [22.32-23.22]
Japan,1961,Both sexes,27.91 [27.4-28.45]
Japan,1961,Male,30.75 [30.16-31.36]
Japan,1961,Female,24.93 [24.44-25.43]
Japan,1960,Both sexes,30.39 [29.81-30.99]
Japan,1960,Male,33.29 [32.64-33.95]
Japan,1960,Female,27.35 [26.81-27.91]
Japan,1959,Both sexes,32.78 [32.16-33.44]
Japan,1959,Male,35.7 [35-36.43]
Japan,1959,Female,29.71 [29.11-30.34]
Japan,1958,Both sexes,35.03 [34.39-35.71]
Japan,1958,Male,37.94 [37.21-38.68]
Japan,1958,Female,31.99 [31.38-32.62]
Japan,1957,Both sexes,37.15 [36.47-37.86]
Japan,1957,Male,40.12 [39.36-40.88]
Japan,1957,Female,34.06 [33.41-34.73]
Japan,1956,Both sexes,39.23 [38.52-39.97]
Japan,1956,Male,42.09 [41.3-42.91]
Japan,1956,Female,36.22 [35.54-36.94]
Japan,1955,Both sexes,41.37 [40.59-42.18]
Japan,1955,Male,44.14 [43.29-45.04]
Japan,1955,Female,38.47 [37.69-39.24]
Japan,1954,Both sexes,43.79 [42.91-44.68]
Japan,1954,Male,46.63 [45.66-47.59]
Japan,1954,Female,40.81 [39.97-41.68]
Japan,1953,Both sexes,46.63 [45.7-47.54]
Japan,1953,Male,49.57 [48.57-50.57]
Japan,1953,Female,43.54 [42.65-44.43]
Japan,1952,Both sexes,49.9 [48.92-50.9]
Japan,1952,Male,53.04 [51.96-54.11]
Japan,1952,Female,46.6 [45.67-47.55]
Japan,1951,Both sexes,53.63 [52.44-54.85]
Japan,1951,Male,56.92 [55.65-58.22]
Japan,1951,Female,50.18 [49.05-51.35]
Japan,1950,Both sexes,57.76 [55.94-59.64]
Japan,1950,Male,61.21 [59.27-63.23]
Japan,1950,Female,54.14 [52.38-55.92]
Jordan,2019,Both sexes,13.41 [10.03-17.82]
Jordan,2019,Male,14.58 [10.91-19.47]
Jordan,2019,Female,12.17 [9.07-16.22]
Jordan,2018,Both sexes,13.82 [10.66-17.9]
Jordan,2018,Male,15.06 [11.57-19.49]
Jordan,2018,Female,12.53 [9.62-16.26]
Jordan,2017,Both sexes,14.25 [11.29-18.03]
Jordan,2017,Male,15.52 [12.27-19.66]
Jordan,2017,Female,12.92 [10.17-16.41]
Jordan,2016,Both sexes,14.69 [11.86-18.2]
Jordan,2016,Male,15.99 [12.92-19.89]
Jordan,2016,Female,13.29 [10.69-16.58]
Jordan,2015,Both sexes,15.12 [12.41-18.37]
Jordan,2015,Male,16.46 [13.52-20.06]
Jordan,2015,Female,13.69 [11.18-16.75]
Jordan,2014,Both sexes,15.53 [12.97-18.6]
Jordan,2014,Male,16.92 [14.11-20.3]
Jordan,2014,Female,14.05 [11.67-16.9]
Jordan,2013,Both sexes,15.96 [13.54-18.8]
Jordan,2013,Male,17.38 [14.71-20.52]
Jordan,2013,Female,14.43 [12.18-17.13]
Jordan,2012,Both sexes,16.38 [14.12-19.02]
Jordan,2012,Male,17.86 [15.33-20.76]
Jordan,2012,Female,14.83 [12.73-17.33]
Jordan,2011,Both sexes,16.83 [14.69-19.28]
Jordan,2011,Male,18.34 [15.96-21.05]
Jordan,2011,Female,15.23 [13.23-17.57]
Jordan,2010,Both sexes,17.29 [15.25-19.57]
Jordan,2010,Male,18.84 [16.57-21.36]
Jordan,2010,Female,15.65 [13.73-17.85]
Jordan,2009,Both sexes,17.75 [15.81-19.9]
Jordan,2009,Male,19.36 [17.16-21.73]
Jordan,2009,Female,16.07 [14.23-18.14]
Jordan,2008,Both sexes,18.25 [16.37-20.27]
Jordan,2008,Male,19.89 [17.78-22.15]
Jordan,2008,Female,16.52 [14.75-18.48]
Jordan,2007,Both sexes,18.76 [16.96-20.68]
Jordan,2007,Male,20.42 [18.4-22.59]
Jordan,2007,Female,17 [15.27-18.87]
Jordan,2006,Both sexes,19.28 [17.55-21.12]
Jordan,2006,Male,20.98 [19.02-23.07]
Jordan,2006,Female,17.48 [15.82-19.28]
Jordan,2005,Both sexes,19.81 [18.13-21.59]
Jordan,2005,Male,21.54 [19.64-23.6]
Jordan,2005,Female,17.98 [16.35-19.76]
Jordan,2004,Both sexes,20.35 [18.73-22.11]
Jordan,2004,Male,22.12 [20.25-24.14]
Jordan,2004,Female,18.48 [16.87-20.23]
Jordan,2003,Both sexes,20.9 [19.32-22.63]
Jordan,2003,Male,22.68 [20.85-24.68]
Jordan,2003,Female,19.04 [17.45-20.76]
Jordan,2002,Both sexes,21.46 [19.91-23.19]
Jordan,2002,Male,23.24 [21.44-25.24]
Jordan,2002,Female,19.58 [18-21.31]
Jordan,2001,Both sexes,22.03 [20.48-23.73]
Jordan,2001,Male,23.83 [22.01-25.78]
Jordan,2001,Female,20.14 [18.57-21.86]
Jordan,2000,Both sexes,22.6 [21.05-24.3]
Jordan,2000,Male,24.4 [22.62-26.35]
Jordan,2000,Female,20.71 [19.14-22.44]
Jordan,1999,Both sexes,23.18 [21.65-24.87]
Jordan,1999,Male,24.98 [23.22-26.92]
Jordan,1999,Female,21.29 [19.71-23]
Jordan,1998,Both sexes,23.77 [22.24-25.43]
Jordan,1998,Male,25.58 [23.83-27.49]
Jordan,1998,Female,21.87 [20.27-23.58]
Jordan,1997,Both sexes,24.39 [22.83-26.01]
Jordan,1997,Male,26.2 [24.46-28.1]
Jordan,1997,Female,22.46 [20.83-24.14]
Jordan,1996,Both sexes,25.01 [23.45-26.62]
Jordan,1996,Male,26.83 [25.07-28.73]
Jordan,1996,Female,23.07 [21.43-24.76]
Jordan,1995,Both sexes,25.66 [24.07-27.28]
Jordan,1995,Male,27.48 [25.69-29.38]
Jordan,1995,Female,23.72 [22.09-25.43]
Jordan,1994,Both sexes,26.33 [24.73-27.96]
Jordan,1994,Male,28.18 [26.36-30.08]
Jordan,1994,Female,24.36 [22.74-26.1]
Jordan,1993,Both sexes,27.05 [25.41-28.71]
Jordan,1993,Male,28.87 [27.02-30.83]
Jordan,1993,Female,25.11 [23.44-26.87]
Jordan,1992,Both sexes,27.83 [26.13-29.5]
Jordan,1992,Male,29.61 [27.7-31.61]
Jordan,1992,Female,25.92 [24.17-27.68]
Jordan,1991,Both sexes,28.65 [26.91-30.35]
Jordan,1991,Male,30.4 [28.44-32.41]
Jordan,1991,Female,26.76 [24.95-28.57]
Jordan,1990,Both sexes,29.52 [27.74-31.28]
Jordan,1990,Male,31.24 [29.24-33.33]
Jordan,1990,Female,27.67 [25.81-29.54]
Jordan,1989,Both sexes,30.45 [28.63-32.29]
Jordan,1989,Male,32.17 [30.13-34.32]
Jordan,1989,Female,28.63 [26.73-30.56]
Jordan,1988,Both sexes,31.5 [29.62-33.38]
Jordan,1988,Male,33.15 [31.04-35.35]
Jordan,1988,Female,29.76 [27.79-31.73]
Jordan,1987,Both sexes,32.64 [30.72-34.55]
Jordan,1987,Male,34.23 [32.07-36.47]
