Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Fiji,2008,Both sexes,23.73 [22.95-24.56]
Fiji,2008,Male,25.62 [24.64-26.66]
Fiji,2008,Female,21.74 [20.88-22.69]
Fiji,2007,Both sexes,23.58 [22.85-24.37]
Fiji,2007,Male,25.44 [24.51-26.43]
Fiji,2007,Female,21.63 [20.82-22.54]
Fiji,2006,Both sexes,23.32 [22.61-24.09]
Fiji,2006,Male,25.14 [24.22-26.11]
Fiji,2006,Female,21.42 [20.59-22.3]
Fiji,2005,Both sexes,22.98 [22.28-23.73]
Fiji,2005,Male,24.77 [23.87-25.7]
Fiji,2005,Female,21.11 [20.3-21.97]
Fiji,2004,Both sexes,22.64 [21.94-23.39]
Fiji,2004,Male,24.4 [23.49-25.32]
Fiji,2004,Female,20.8 [20-21.65]
Fiji,2003,Both sexes,22.42 [21.7-23.18]
Fiji,2003,Male,24.15 [23.23-25.08]
Fiji,2003,Female,20.6 [19.79-21.46]
Fiji,2002,Both sexes,22.36 [21.6-23.15]
Fiji,2002,Male,24.09 [23.14-25.04]
Fiji,2002,Female,20.56 [19.7-21.43]
Fiji,2001,Both sexes,22.46 [21.6-23.36]
Fiji,2001,Male,24.21 [23.15-25.27]
Fiji,2001,Female,20.63 [19.68-21.61]
Fiji,2000,Both sexes,22.69 [21.61-23.82]
Fiji,2000,Male,24.47 [23.19-25.77]
Fiji,2000,Female,20.82 [19.7-21.99]
Fiji,1999,Both sexes,23.02 [21.63-24.5]
Fiji,1999,Male,24.83 [23.22-26.51]
Fiji,1999,Female,21.1 [19.74-22.59]
Fiji,1998,Both sexes,23.39 [21.64-25.31]
Fiji,1998,Male,25.25 [23.24-27.41]
Fiji,1998,Female,21.43 [19.75-23.32]
Fiji,1997,Both sexes,23.79 [21.65-26.19]
Fiji,1997,Male,25.69 [23.3-28.36]
Fiji,1997,Female,21.77 [19.74-24.1]
Fiji,1996,Both sexes,24.22 [21.72-27.14]
Fiji,1996,Male,26.16 [23.38-29.41]
Fiji,1996,Female,22.17 [19.79-24.9]
Fiji,1995,Both sexes,24.71 [21.84-28.12]
Fiji,1995,Male,26.69 [23.55-30.47]
Fiji,1995,Female,22.63 [19.91-25.79]
Fiji,1994,Both sexes,25.3 [22.08-29.19]
Fiji,1994,Male,27.36 [23.82-31.62]
Fiji,1994,Female,23.17 [20.13-26.74]
Fiji,1993,Both sexes,26.03 [22.5-30.3]
Fiji,1993,Male,28.12 [24.25-32.85]
Fiji,1993,Female,23.84 [20.51-27.8]
Fiji,1992,Both sexes,26.88 [23.03-31.54]
Fiji,1992,Male,29.05 [24.88-34.17]
Fiji,1992,Female,24.59 [21.02-28.92]
Fiji,1991,Both sexes,27.85 [23.72-32.76]
Fiji,1991,Male,30.1 [25.63-35.55]
Fiji,1991,Female,25.49 [21.65-30.09]
Fiji,1990,Both sexes,28.91 [24.51-34.12]
Fiji,1990,Male,31.24 [26.49-36.93]
Fiji,1990,Female,26.45 [22.41-31.31]
Fiji,1989,Both sexes,30.04 [25.45-35.43]
Fiji,1989,Male,32.46 [27.47-38.43]
Fiji,1989,Female,27.51 [23.22-32.5]
Fiji,1988,Both sexes,31.21 [26.44-36.75]
Fiji,1988,Male,33.73 [28.52-39.85]
Fiji,1988,Female,28.58 [24.13-33.74]
Fiji,1987,Both sexes,32.41 [27.44-38.12]
Fiji,1987,Male,34.98 [29.57-41.25]
Fiji,1987,Female,29.73 [25.11-35.06]
Fiji,1986,Both sexes,33.66 [28.5-39.68]
Fiji,1986,Male,36.34 [30.66-42.86]
Fiji,1986,Female,30.91 [26.06-36.41]
Fiji,1985,Both sexes,35.02 [29.66-41.34]
Fiji,1985,Male,37.81 [31.91-44.63]
Fiji,1985,Female,32.17 [27.12-37.98]
Fiji,1984,Both sexes,36.52 [30.92-43.15]
Fiji,1984,Male,39.31 [33.17-46.58]
Fiji,1984,Female,33.63 [28.36-39.76]
Fiji,1983,Both sexes,38.17 [32.27-45.11]
Fiji,1983,Male,41.11 [34.67-48.65]
Fiji,1983,Female,35.14 [29.66-41.6]
Fiji,1982,Both sexes,40.03 [33.9-47.19]
Fiji,1982,Male,43.08 [36.4-50.92]
Fiji,1982,Female,36.91 [31.15-43.67]
Fiji,1981,Both sexes,42.11 [35.75-49.52]
Fiji,1981,Male,45.22 [38.35-53.32]
Fiji,1981,Female,38.84 [32.85-45.8]
Fiji,1980,Both sexes,44.33 [37.76-51.86]
Fiji,1980,Male,47.5 [40.43-55.72]
Fiji,1980,Female,40.9 [34.87-48.03]
Fiji,1979,Both sexes,46.53 [39.91-54.14]
Fiji,1979,Male,49.8 [42.64-58.07]
Fiji,1979,Female,43.03 [36.91-50.32]
Fiji,1978,Both sexes,48.69 [42.03-56.41]
Fiji,1978,Male,52.01 [44.87-60.32]
Fiji,1978,Female,45.13 [38.97-52.51]
Fiji,1977,Both sexes,50.66 [44.03-58.43]
Fiji,1977,Male,54.14 [46.92-62.49]
Fiji,1977,Female,47 [40.75-54.41]
Fiji,1976,Both sexes,52.41 [45.7-60.15]
Fiji,1976,Male,55.95 [48.71-64.24]
Fiji,1976,Female,48.66 [42.38-56.11]
Fiji,1975,Both sexes,53.84 [47.19-61.42]
Fiji,1975,Male,57.48 [50.2-65.69]
Fiji,1975,Female,50.08 [43.72-57.29]
Fiji,1974,Both sexes,54.96 [48.33-62.44]
Fiji,1974,Male,58.66 [51.37-66.63]
Fiji,1974,Female,51.13 [44.81-58.33]
Fiji,1973,Both sexes,55.78 [49.15-63.24]
Fiji,1973,Male,59.49 [52.28-67.44]
Fiji,1973,Female,51.93 [45.59-59.13]
Fiji,1972,Both sexes,56.43 [49.86-63.85]
Fiji,1972,Male,60.19 [53.02-68.05]
Fiji,1972,Female,52.5 [46.23-59.71]
Fiji,1971,Both sexes,56.97 [50.39-64.37]
Fiji,1971,Male,60.79 [53.65-68.69]
Fiji,1971,Female,53.01 [46.69-60.27]
Fiji,1970,Both sexes,57.59 [51.05-64.88]
Fiji,1970,Male,61.34 [54.25-69.3]
Fiji,1970,Female,53.62 [47.34-60.76]
Fiji,1969,Both sexes,58.33 [51.77-65.65]
Fiji,1969,Male,62.15 [55.03-70.05]
Fiji,1969,Female,54.38 [48.01-61.4]
Fiji,1968,Both sexes,59.27 [52.74-66.7]
Fiji,1968,Male,63.16 [55.94-71.22]
Fiji,1968,Female,55.31 [48.89-62.45]
Fiji,1967,Both sexes,60.53 [53.84-67.98]
Fiji,1967,Male,64.39 [57.13-72.51]
Fiji,1967,Female,56.45 [50.05-63.68]
Fiji,1966,Both sexes,61.98 [55.26-69.58]
Fiji,1966,Male,65.86 [58.6-74.09]
Fiji,1966,Female,57.94 [51.4-65.27]
Fiji,1965,Both sexes,63.76 [56.93-71.41]
Fiji,1965,Male,67.67 [60.25-75.93]
Fiji,1965,Female,59.66 [52.94-67.02]
Fiji,1964,Both sexes,65.83 [58.88-73.58]
Fiji,1964,Male,69.8 [62.29-78.22]
Fiji,1964,Female,61.61 [54.81-69.01]
Fiji,1963,Both sexes,68.19 [60.98-76]
Fiji,1963,Male,72.22 [64.56-80.78]
Fiji,1963,Female,63.93 [56.98-71.44]
Fiji,1962,Both sexes,70.85 [63.51-78.78]
Fiji,1962,Male,74.95 [67.01-83.58]
Fiji,1962,Female,66.51 [59.31-74.3]
Fiji,1961,Both sexes,73.85 [66.23-82.07]
Fiji,1961,Male,77.9 [69.77-86.86]
Fiji,1961,Female,69.46 [62-77.45]
Fiji,1960,Both sexes,77.18 [69.31-85.74]
Fiji,1960,Male,81.42 [72.94-90.56]
Fiji,1960,Female,72.73 [64.96-80.98]
Fiji,1959,Both sexes,80.99 [72.73-89.85]
Fiji,1959,Male,85.25 [76.39-94.95]
Fiji,1959,Female,76.44 [68.37-85.04]
Fiji,1958,Both sexes,85.21 [76.54-94.54]
Fiji,1958,Male,89.58 [80.25-99.73]
Fiji,1958,Female,80.62 [72.1-89.75]
Fiji,1957,Both sexes,89.99 [80.69-99.95]
Fiji,1957,Male,94.36 [84.44-105.1]
Fiji,1957,Female,85.31 [76.32-95.1]
Fiji,1956,Both sexes,95.28 [85.39-105.9]
Fiji,1956,Male,99.8 [89.17-111.3]
Fiji,1956,Female,90.51 [80.84-101.1]
Fiji,1955,Both sexes,101.2 [90.61-112.7]
Fiji,1955,Male,105.9 [94.48-118.5]
Fiji,1955,Female,96.39 [85.9-107.9]
Fiji,1954,Both sexes,107.9 [96.39-120.8]
Fiji,1954,Male,112.7 [100.4-126.5]
Fiji,1954,Female,102.9 [91.45-115.5]
Fiji,1953,Both sexes,115.4 [102.6-129.7]
Fiji,1953,Male,120.3 [106.7-135.6]
Fiji,1953,Female,110.3 [97.65-124.6]
Fiji,1952,Both sexes,123.8 [109-140.4]
Fiji,1952,Male,128.6 [113.2-146.5]
Fiji,1952,Female,118.5 [104-134.9]
Fiji,1951,Both sexes,132.9 [115.7-153.2]
Fiji,1951,Male,138 [119.8-159.5]
Fiji,1951,Female,127.6 [110.3-147.5]
Fiji,1950,Both sexes,142.9 [121.8-168.5]
Fiji,1950,Male,148.1 [126.2-175.1]
Fiji,1950,Female,137.5 [116.6-162.3]
Finland,2019,Both sexes,2.38 [2.17-2.63]
Finland,2019,Male,2.61 [2.37-2.88]
Finland,2019,Female,2.15 [1.95-2.39]
Finland,2018,Both sexes,2.4 [2.23-2.59]
Finland,2018,Male,2.62 [2.42-2.83]
Finland,2018,Female,2.17 [2-2.35]
Finland,2017,Both sexes,2.42 [2.27-2.57]
Finland,2017,Male,2.64 [2.47-2.81]
Finland,2017,Female,2.19 [2.04-2.34]
Finland,2016,Both sexes,2.44 [2.31-2.59]
Finland,2016,Male,2.67 [2.51-2.83]
Finland,2016,Female,2.21 [2.08-2.35]
Finland,2015,Both sexes,2.49 [2.35-2.63]
Finland,2015,Male,2.72 [2.56-2.88]
Finland,2015,Female,2.25 [2.11-2.38]
Finland,2014,Both sexes,2.56 [2.42-2.7]
Finland,2014,Male,2.79 [2.63-2.95]
Finland,2014,Female,2.31 [2.17-2.44]
Finland,2013,Both sexes,2.64 [2.5-2.78]
Finland,2013,Male,2.89 [2.72-3.05]
Finland,2013,Female,2.39 [2.25-2.53]
Finland,2012,Both sexes,2.75 [2.61-2.89]
Finland,2012,Male,3.01 [2.84-3.17]
Finland,2012,Female,2.48 [2.34-2.62]
Finland,2011,Both sexes,2.87 [2.73-3.02]
Finland,2011,Male,3.14 [2.98-3.31]
Finland,2011,Female,2.59 [2.45-2.73]
Finland,2010,Both sexes,3.01 [2.87-3.16]
Finland,2010,Male,3.3 [3.13-3.47]
Finland,2010,Female,2.71 [2.57-2.85]
Finland,2009,Both sexes,3.16 [3.02-3.31]
Finland,2009,Male,3.46 [3.3-3.63]
Finland,2009,Female,2.84 [2.7-2.99]
Finland,2008,Both sexes,3.31 [3.17-3.46]
Finland,2008,Male,3.63 [3.46-3.81]
Finland,2008,Female,2.98 [2.83-3.13]
Finland,2007,Both sexes,3.47 [3.32-3.63]
Finland,2007,Male,3.81 [3.63-3.99]
Finland,2007,Female,3.11 [2.96-3.27]
Finland,2006,Both sexes,3.62 [3.46-3.78]
Finland,2006,Male,3.97 [3.78-4.16]
Finland,2006,Female,3.24 [3.09-3.42]
Finland,2005,Both sexes,3.75 [3.59-3.93]
Finland,2005,Male,4.12 [3.93-4.32]
Finland,2005,Female,3.36 [3.2-3.54]
Finland,2004,Both sexes,3.87 [3.71-4.04]
Finland,2004,Male,4.25 [4.06-4.46]
Finland,2004,Female,3.46 [3.3-3.64]
Finland,2003,Both sexes,3.97 [3.81-4.15]
Finland,2003,Male,4.36 [4.17-4.57]
Finland,2003,Female,3.55 [3.39-3.74]
Finland,2002,Both sexes,4.06 [3.9-4.24]
Finland,2002,Male,4.47 [4.28-4.68]
Finland,2002,Female,3.64 [3.48-3.82]
Finland,2001,Both sexes,4.17 [4-4.34]
Finland,2001,Male,4.58 [4.38-4.79]
Finland,2001,Female,3.73 [3.56-3.91]
Finland,2000,Both sexes,4.28 [4.1-4.45]
Finland,2000,Male,4.7 [4.5-4.91]
Finland,2000,Female,3.83 [3.65-4.01]
Finland,1999,Both sexes,4.41 [4.23-4.59]
Finland,1999,Male,4.84 [4.63-5.06]
Finland,1999,Female,3.95 [3.77-4.13]
Finland,1998,Both sexes,4.56 [4.37-4.74]
Finland,1998,Male,5.01 [4.79-5.23]
Finland,1998,Female,4.08 [3.89-4.27]
Finland,1997,Both sexes,4.73 [4.54-4.92]
Finland,1997,Male,5.19 [4.97-5.42]
Finland,1997,Female,4.24 [4.05-4.43]
Finland,1996,Both sexes,4.92 [4.73-5.13]
Finland,1996,Male,5.41 [5.17-5.65]
Finland,1996,Female,4.42 [4.22-4.62]
Finland,1995,Both sexes,5.16 [4.96-5.37]
Finland,1995,Male,5.67 [5.43-5.91]
Finland,1995,Female,4.63 [4.43-4.84]
Finland,1994,Both sexes,5.45 [5.25-5.65]
Finland,1994,Male,5.98 [5.74-6.22]
Finland,1994,Female,4.89 [4.69-5.1]
Finland,1993,Both sexes,5.77 [5.57-5.97]
Finland,1993,Male,6.34 [6.1-6.58]
Finland,1993,Female,5.17 [4.96-5.38]
Finland,1992,Both sexes,6.11 [5.91-6.32]
Finland,1992,Male,6.72 [6.47-6.97]
Finland,1992,Female,5.47 [5.27-5.69]
Finland,1991,Both sexes,6.44 [6.23-6.68]
Finland,1991,Male,7.08 [6.82-7.35]
Finland,1991,Female,5.78 [5.55-6.01]
Finland,1990,Both sexes,6.73 [6.5-6.99]
Finland,1990,Male,7.42 [7.14-7.72]
Finland,1990,Female,6.01 [5.77-6.28]
Finland,1989,Both sexes,6.96 [6.71-7.21]
Finland,1989,Male,7.67 [7.38-7.98]
Finland,1989,Female,6.2 [5.96-6.47]
Finland,1988,Both sexes,7.11 [6.86-7.37]
Finland,1988,Male,7.84 [7.54-8.15]
Finland,1988,Female,6.33 [6.09-6.6]
Finland,1987,Both sexes,7.2 [6.97-7.45]
Finland,1987,Male,7.95 [7.66-8.24]
Finland,1987,Female,6.41 [6.17-6.67]
Finland,1986,Both sexes,7.27 [7.03-7.5]
Finland,1986,Male,8.03 [7.74-8.31]
Finland,1986,Female,6.46 [6.23-6.71]
Finland,1985,Both sexes,7.33 [7.09-7.57]
Finland,1985,Male,8.1 [7.81-8.4]
Finland,1985,Female,6.53 [6.28-6.77]
Finland,1984,Both sexes,7.44 [7.19-7.68]
Finland,1984,Male,8.22 [7.92-8.51]
Finland,1984,Female,6.62 [6.37-6.87]
Finland,1983,Both sexes,7.6 [7.35-7.86]
Finland,1983,Male,8.4 [8.1-8.71]
Finland,1983,Female,6.77 [6.51-7.02]
Finland,1982,Both sexes,7.86 [7.6-8.11]
Finland,1982,Male,8.68 [8.38-9]
Finland,1982,Female,6.98 [6.72-7.25]
Finland,1981,Both sexes,8.2 [7.94-8.47]
Finland,1981,Male,9.11 [8.79-9.43]
Finland,1981,Female,7.25 [6.99-7.53]
Finland,1980,Both sexes,8.65 [8.39-8.93]
Finland,1980,Male,9.61 [9.29-9.95]
Finland,1980,Female,7.65 [7.38-7.93]
Finland,1979,Both sexes,9.22 [8.95-9.49]
Finland,1979,Male,10.27 [9.93-10.6]
Finland,1979,Female,8.12 [7.84-8.39]
Finland,1978,Both sexes,9.88 [9.6-10.16]
Finland,1978,Male,11.02 [10.67-11.36]
Finland,1978,Female,8.69 [8.4-8.98]
Finland,1977,Both sexes,10.64 [10.36-10.93]
Finland,1977,Male,11.9 [11.55-12.26]
Finland,1977,Female,9.31 [9.01-9.62]
Finland,1976,Both sexes,11.45 [11.16-11.77]
Finland,1976,Male,12.83 [12.45-13.21]
Finland,1976,Female,10.01 [9.7-10.34]
Finland,1975,Both sexes,12.28 [11.96-12.63]
Finland,1975,Male,13.79 [13.38-14.2]
Finland,1975,Female,10.7 [10.37-11.05]
Finland,1974,Both sexes,13.08 [12.75-13.44]
Finland,1974,Male,14.7 [14.29-15.14]
Finland,1974,Female,11.38 [11.03-11.74]
Finland,1973,Both sexes,13.86 [13.51-14.23]
Finland,1973,Male,15.58 [15.15-16.04]
Finland,1973,Female,12.04 [11.68-12.43]
Finland,1972,Both sexes,14.62 [14.27-15]
Finland,1972,Male,16.46 [16.02-16.93]
Finland,1972,Female,12.69 [12.32-13.08]
Finland,1971,Both sexes,15.38 [15.02-15.75]
Finland,1971,Male,17.32 [16.87-17.79]
Finland,1971,Female,13.34 [12.96-13.74]
Finland,1970,Both sexes,16.11 [15.75-16.5]
Finland,1970,Male,18.13 [17.67-18.61]
Finland,1970,Female,14 [13.62-14.4]
Finland,1969,Both sexes,16.84 [16.49-17.21]
Finland,1969,Male,18.94 [18.48-19.41]
Finland,1969,Female,14.64 [14.25-15.04]
Finland,1968,Both sexes,17.58 [17.22-17.97]
Finland,1968,Male,19.76 [19.29-20.24]
Finland,1968,Female,15.3 [14.9-15.7]
Finland,1967,Both sexes,18.38 [18.01-18.76]
Finland,1967,Male,20.64 [20.17-21.13]
Finland,1967,Female,16 [15.59-16.41]
Finland,1966,Both sexes,19.25 [18.86-19.63]
Finland,1966,Male,21.62 [21.14-22.13]
Finland,1966,Female,16.75 [16.34-17.16]
Finland,1965,Both sexes,20.22 [19.81-20.62]
Finland,1965,Male,22.74 [22.23-23.25]
Finland,1965,Female,17.57 [17.14-18]
Finland,1964,Both sexes,21.3 [20.89-21.71]
Finland,1964,Male,23.96 [23.45-24.48]
Finland,1964,Female,18.51 [18.07-18.94]
Finland,1963,Both sexes,22.5 [22.05-22.94]
Finland,1963,Male,25.27 [24.72-25.82]
Finland,1963,Female,19.58 [19.11-20.04]
Finland,1962,Both sexes,23.79 [23.33-24.24]
Finland,1962,Male,26.72 [26.15-27.29]
Finland,1962,Female,20.71 [20.22-21.2]
Finland,1961,Both sexes,25.22 [24.72-25.69]
Finland,1961,Male,28.29 [27.66-28.9]
Finland,1961,Female,22 [21.49-22.52]
Finland,1960,Both sexes,26.82 [26.28-27.35]
Finland,1960,Male,30.08 [29.4-30.75]
Finland,1960,Female,23.39 [22.83-23.95]
Finland,1959,Both sexes,28.61 [28.06-29.16]
Finland,1959,Male,32.08 [31.39-32.76]
Finland,1959,Female,24.96 [24.39-25.55]
Finland,1958,Both sexes,30.48 [29.87-31.09]
Finland,1958,Male,34.05 [33.3-34.81]
Finland,1958,Female,26.73 [26.1-27.36]
Finland,1957,Both sexes,32.29 [31.65-32.94]
Finland,1957,Male,36.04 [35.25-36.82]
Finland,1957,Female,28.36 [27.7-29.02]
Finland,1956,Both sexes,34 [33.34-34.69]
Finland,1956,Male,37.93 [37.12-38.79]
Finland,1956,Female,29.85 [29.19-30.56]
Finland,1955,Both sexes,35.62 [34.93-36.36]
Finland,1955,Male,39.73 [38.87-40.64]
Finland,1955,Female,31.31 [30.6-32.05]
Finland,1954,Both sexes,37.18 [36.48-37.92]
Finland,1954,Male,41.45 [40.58-42.39]
Finland,1954,Female,32.7 [31.98-33.43]
Finland,1953,Both sexes,38.69 [37.94-39.48]
Finland,1953,Male,43.01 [42.08-43.97]
Finland,1953,Female,34.16 [33.39-34.95]
Finland,1952,Both sexes,40.16 [39.38-40.98]
Finland,1952,Male,44.49 [43.54-45.49]
Finland,1952,Female,35.61 [34.8-36.43]
Finland,1951,Both sexes,41.64 [40.72-42.61]
Finland,1951,Male,46.08 [44.99-47.22]
Finland,1951,Female,37 [36.08-37.95]
Finland,1950,Both sexes,43.26 [41.85-44.71]
Finland,1950,Male,47.88 [46.25-49.55]
Finland,1950,Female,38.39 [37.08-39.77]
France,2019,Both sexes,4.46 [4.23-4.73]
France,2019,Male,4.88 [4.61-5.18]
France,2019,Female,4.02 [3.79-4.27]
France,2018,Both sexes,4.36 [4.22-4.51]
France,2018,Male,4.78 [4.6-4.95]
France,2018,Female,3.93 [3.78-4.08]
France,2017,Both sexes,4.26 [4.16-4.35]
France,2017,Male,4.66 [4.54-4.78]
France,2017,Female,3.83 [3.73-3.94]
France,2016,Both sexes,4.17 [4.08-4.26]
France,2016,Male,4.57 [4.46-4.68]
France,2016,Female,3.75 [3.65-3.85]
France,2015,Both sexes,4.12 [4.03-4.21]
France,2015,Male,4.52 [4.41-4.63]
France,2015,Female,3.71 [3.61-3.81]
