Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Papua New Guinea,1985,Both sexes,93.72 [84.79-103.1]
Papua New Guinea,1985,Male,98.97 [89.12-109.3]
Papua New Guinea,1985,Female,88.21 [79.27-97.72]
Papua New Guinea,1984,Both sexes,95.8 [86.47-105.6]
Papua New Guinea,1984,Male,101.1 [90.93-111.9]
Papua New Guinea,1984,Female,90.18 [80.95-100.1]
Papua New Guinea,1983,Both sexes,98.01 [88.39-108.3]
Papua New Guinea,1983,Male,103.4 [92.73-114.5]
Papua New Guinea,1983,Female,92.37 [82.66-102.7]
Papua New Guinea,1982,Both sexes,100.4 [90.21-111]
Papua New Guinea,1982,Male,105.9 [94.66-117.5]
Papua New Guinea,1982,Female,94.62 [84.48-105.4]
Papua New Guinea,1981,Both sexes,102.9 [92.25-113.9]
Papua New Guinea,1981,Male,108.5 [96.66-120.5]
Papua New Guinea,1981,Female,97.14 [86.57-108.2]
Papua New Guinea,1980,Both sexes,105.6 [94.48-117]
Papua New Guinea,1980,Male,111.2 [98.91-123.7]
Papua New Guinea,1980,Female,99.78 [88.75-111.1]
Papua New Guinea,1979,Both sexes,108.5 [96.82-120.3]
Papua New Guinea,1979,Male,114.2 [101.3-127.2]
Papua New Guinea,1979,Female,102.5 [90.94-114.3]
Papua New Guinea,1978,Both sexes,111.5 [99.15-123.6]
Papua New Guinea,1978,Male,117.2 [103.9-130.7]
Papua New Guinea,1978,Female,105.4 [93.29-117.6]
Papua New Guinea,1977,Both sexes,114.7 [101.9-127.3]
Papua New Guinea,1977,Male,120.5 [106.6-134.3]
Papua New Guinea,1977,Female,108.5 [95.85-121.2]
Papua New Guinea,1976,Both sexes,118 [104.9-131.3]
Papua New Guinea,1976,Male,123.9 [109.4-138.4]
Papua New Guinea,1976,Female,111.8 [98.47-124.8]
Papua New Guinea,1975,Both sexes,121.6 [107.9-135.5]
Papua New Guinea,1975,Male,127.6 [112.5-142.7]
Papua New Guinea,1975,Female,115.2 [101.5-128.9]
Papua New Guinea,1974,Both sexes,125.4 [111.3-139.8]
Papua New Guinea,1974,Male,131.5 [116.1-147.2]
Papua New Guinea,1974,Female,118.9 [104.6-133.1]
Papua New Guinea,1973,Both sexes,129.4 [114.8-144.6]
Papua New Guinea,1973,Male,135.5 [119.7-152.1]
Papua New Guinea,1973,Female,122.7 [108.2-137.8]
Papua New Guinea,1972,Both sexes,133.5 [118.6-149.4]
Papua New Guinea,1972,Male,139.7 [123.6-157.2]
Papua New Guinea,1972,Female,126.8 [111.9-142.6]
Papua New Guinea,1971,Both sexes,137.9 [122.4-154.8]
Papua New Guinea,1971,Male,144.1 [127.7-162.5]
Papua New Guinea,1971,Female,131.1 [115.7-147.9]
Papua New Guinea,1970,Both sexes,142.4 [126.5-159.8]
Papua New Guinea,1970,Male,148.8 [131.8-168.1]
Papua New Guinea,1970,Female,135.5 [119.5-153.1]
Papua New Guinea,1969,Both sexes,147.1 [130.8-165.5]
Papua New Guinea,1969,Male,153.7 [136.3-173.9]
Papua New Guinea,1969,Female,140.2 [123.7-158.4]
Papua New Guinea,1968,Both sexes,152.2 [135.4-171.3]
Papua New Guinea,1968,Male,158.9 [140.8-179.7]
Papua New Guinea,1968,Female,145.1 [128.2-164]
Papua New Guinea,1967,Both sexes,157.4 [140-177.2]
Papua New Guinea,1967,Male,164.1 [145.6-185.7]
Papua New Guinea,1967,Female,150.1 [132.8-169.9]
Papua New Guinea,1966,Both sexes,162.6 [145.1-183.3]
Papua New Guinea,1966,Male,169.5 [150.3-191.8]
Papua New Guinea,1966,Female,155.3 [137.4-176]
Papua New Guinea,1965,Both sexes,168 [149.9-189.4]
Papua New Guinea,1965,Male,175 [155.2-198.2]
Papua New Guinea,1965,Female,160.5 [142.1-182]
Papua New Guinea,1964,Both sexes,173.6 [154.6-196]
Papua New Guinea,1964,Male,180.6 [160.3-204.7]
Papua New Guinea,1964,Female,166 [146.7-188.3]
Papua New Guinea,1963,Both sexes,179.4 [159.3-202.9]
Papua New Guinea,1963,Male,186.5 [165.1-211.9]
Papua New Guinea,1963,Female,171.6 [151.4-195]
Papua New Guinea,1962,Both sexes,185.2 [164-209.8]
Papua New Guinea,1962,Male,192.6 [169.9-219.3]
Papua New Guinea,1962,Female,177.3 [156-202.2]
Papua New Guinea,1961,Both sexes,191.1 [168.6-217.8]
Papua New Guinea,1961,Male,198.9 [174.7-227.5]
Papua New Guinea,1961,Female,183.1 [160.4-209.7]
Papua New Guinea,1960,Both sexes,197.4 [172.8-226.5]
Papua New Guinea,1960,Male,205.3 [179-236.6]
Papua New Guinea,1960,Female,189.2 [164.6-217.8]
Papua New Guinea,1959,Both sexes,203.7 [177-235.7]
Papua New Guinea,1959,Male,211.8 [183.2-245.8]
Papua New Guinea,1959,Female,195.2 [169.1-227.1]
Papua New Guinea,1958,Both sexes,210.3 [181-246.6]
Papua New Guinea,1958,Male,218.6 [187.2-256.8]
Papua New Guinea,1958,Female,201.5 [172.7-237.5]
Papua New Guinea,1957,Both sexes,216.9 [184.7-257.9]
Papua New Guinea,1957,Male,225.5 [191.2-268.9]
Papua New Guinea,1957,Female,208.1 [176.2-248.9]
Papua New Guinea,1956,Both sexes,223.9 [187.8-272]
Papua New Guinea,1956,Male,232.4 [194.5-283.4]
Papua New Guinea,1956,Female,214.7 [179.2-261.5]
Papua New Guinea,1955,Both sexes,230.9 [190.6-286.1]
Papua New Guinea,1955,Male,239.6 [197.1-297.9]
Papua New Guinea,1955,Female,221.7 [182.2-275.8]
Paraguay,2019,Both sexes,19.44 [10.27-38.52]
Paraguay,2019,Male,21.37 [11.27-42.16]
Paraguay,2019,Female,17.43 [9.15-34.44]
Paraguay,2018,Both sexes,20.13 [10.87-38.64]
Paraguay,2018,Male,22.12 [11.94-42.49]
Paraguay,2018,Female,18.01 [9.72-34.67]
Paraguay,2017,Both sexes,20.81 [11.5-38.79]
Paraguay,2017,Male,22.81 [12.6-42.59]
Paraguay,2017,Female,18.62 [10.29-34.89]
Paraguay,2016,Both sexes,21.49 [12.22-38.87]
Paraguay,2016,Male,23.65 [13.43-42.72]
Paraguay,2016,Female,19.24 [10.9-34.8]
Paraguay,2015,Both sexes,22.21 [12.98-39.14]
Paraguay,2015,Male,24.4 [14.3-42.92]
Paraguay,2015,Female,19.88 [11.57-34.99]
Paraguay,2014,Both sexes,22.95 [13.81-39.23]
Paraguay,2014,Male,25.18 [15.19-43.29]
Paraguay,2014,Female,20.55 [12.36-35.25]
Paraguay,2013,Both sexes,23.65 [14.71-39.44]
Paraguay,2013,Male,25.96 [16.2-43.48]
Paraguay,2013,Female,21.17 [13.1-35.36]
Paraguay,2012,Both sexes,24.42 [15.61-39.44]
Paraguay,2012,Male,26.8 [17.19-43.55]
Paraguay,2012,Female,21.86 [13.94-35.42]
Paraguay,2011,Both sexes,25.2 [16.62-39.61]
Paraguay,2011,Male,27.67 [18.25-43.6]
Paraguay,2011,Female,22.59 [14.88-35.55]
Paraguay,2010,Both sexes,26.01 [17.56-39.63]
Paraguay,2010,Male,28.51 [19.2-43.55]
Paraguay,2010,Female,23.34 [15.69-35.59]
Paraguay,2009,Both sexes,26.84 [18.45-39.81]
Paraguay,2009,Male,29.43 [20.22-43.78]
Paraguay,2009,Female,24.07 [16.52-35.76]
Paraguay,2008,Both sexes,27.62 [19.46-40.2]
Paraguay,2008,Male,30.35 [21.27-44.19]
Paraguay,2008,Female,24.82 [17.46-36.19]
Paraguay,2007,Both sexes,28.43 [20.44-40.41]
Paraguay,2007,Male,31.18 [22.45-44.27]
Paraguay,2007,Female,25.55 [18.37-36.4]
Paraguay,2006,Both sexes,29.23 [21.51-40.37]
Paraguay,2006,Male,32.08 [23.53-44.41]
Paraguay,2006,Female,26.26 [19.27-36.43]
Paraguay,2005,Both sexes,30.01 [22.63-40.29]
Paraguay,2005,Male,32.87 [24.7-44.23]
Paraguay,2005,Female,26.96 [20.25-36.37]
Paraguay,2004,Both sexes,30.71 [23.76-40.19]
Paraguay,2004,Male,33.61 [25.99-44.11]
Paraguay,2004,Female,27.62 [21.29-36.25]
Paraguay,2003,Both sexes,31.43 [24.89-40.09]
Paraguay,2003,Male,34.41 [27.17-43.91]
Paraguay,2003,Female,28.27 [22.31-36.14]
Paraguay,2002,Both sexes,32.18 [26.02-40.04]
Paraguay,2002,Male,35.13 [28.35-43.77]
Paraguay,2002,Female,29 [23.35-36.22]
Paraguay,2001,Both sexes,32.92 [27.13-40.24]
Paraguay,2001,Male,35.94 [29.56-44.04]
Paraguay,2001,Female,29.68 [24.31-36.3]
Paraguay,2000,Both sexes,33.69 [28.19-40.38]
Paraguay,2000,Male,36.77 [30.7-44.19]
Paraguay,2000,Female,30.41 [25.29-36.6]
Paraguay,1999,Both sexes,34.46 [29.23-40.72]
Paraguay,1999,Male,37.62 [31.82-44.61]
Paraguay,1999,Female,31.11 [26.2-36.88]
Paraguay,1998,Both sexes,35.28 [30.22-41.28]
Paraguay,1998,Male,38.51 [32.9-45.17]
Paraguay,1998,Female,31.88 [27.14-37.44]
Paraguay,1997,Both sexes,36.17 [31.19-41.94]
Paraguay,1997,Male,39.4 [33.9-45.87]
Paraguay,1997,Female,32.75 [28.13-38.11]
Paraguay,1996,Both sexes,37.12 [32.24-42.72]
Paraguay,1996,Male,40.43 [34.94-46.68]
Paraguay,1996,Female,33.61 [29.04-38.83]
Paraguay,1995,Both sexes,38.18 [33.38-43.58]
Paraguay,1995,Male,41.53 [36.19-47.67]
Paraguay,1995,Female,34.6 [30.12-39.71]
Paraguay,1994,Both sexes,39.33 [34.59-44.7]
Paraguay,1994,Male,42.72 [37.45-48.72]
Paraguay,1994,Female,35.77 [31.33-40.77]
Paraguay,1993,Both sexes,40.67 [35.99-45.92]
Paraguay,1993,Male,44.12 [38.92-50.05]
Paraguay,1993,Female,37.02 [32.62-41.95]
Paraguay,1992,Both sexes,42.11 [37.48-47.3]
Paraguay,1992,Male,45.65 [40.53-51.5]
Paraguay,1992,Female,38.37 [33.98-43.23]
Paraguay,1991,Both sexes,43.67 [39.04-48.83]
Paraguay,1991,Male,47.28 [42.11-53]
Paraguay,1991,Female,39.89 [35.49-44.72]
Paraguay,1990,Both sexes,45.33 [40.75-50.44]
Paraguay,1990,Male,49.07 [43.88-54.73]
Paraguay,1990,Female,41.46 [37.02-46.29]
Paraguay,1989,Both sexes,47.09 [42.51-52.19]
Paraguay,1989,Male,50.86 [45.68-56.56]
Paraguay,1989,Female,43.17 [38.67-48.1]
Paraguay,1988,Both sexes,48.9 [44.23-54.01]
Paraguay,1988,Male,52.72 [47.52-58.51]
Paraguay,1988,Female,44.94 [40.34-49.84]
Paraguay,1987,Both sexes,50.74 [46.08-55.94]
Paraguay,1987,Male,54.69 [49.43-60.49]
Paraguay,1987,Female,46.67 [42.02-51.69]
Paraguay,1986,Both sexes,52.67 [47.91-57.98]
Paraguay,1986,Male,56.64 [51.3-62.62]
Paraguay,1986,Female,48.52 [43.8-53.63]
Paraguay,1985,Both sexes,54.67 [49.78-60.12]
Paraguay,1985,Male,58.69 [53.25-64.68]
Paraguay,1985,Female,50.45 [45.64-55.73]
Paraguay,1984,Both sexes,56.73 [51.78-62.3]
Paraguay,1984,Male,60.87 [55.27-67.03]
Paraguay,1984,Female,52.37 [47.43-57.72]
Paraguay,1983,Both sexes,58.81 [53.69-64.52]
Paraguay,1983,Male,62.99 [57.24-69.31]
Paraguay,1983,Female,54.41 [49.38-59.96]
Paraguay,1982,Both sexes,60.9 [55.61-66.88]
Paraguay,1982,Male,65.11 [59.29-71.7]
Paraguay,1982,Female,56.43 [51.29-62.26]
Paraguay,1981,Both sexes,62.94 [57.52-69.22]
Paraguay,1981,Male,67.3 [61.27-74.19]
Paraguay,1981,Female,58.36 [52.96-64.46]
Paraguay,1980,Both sexes,64.93 [59.26-71.49]
Paraguay,1980,Male,69.33 [63.02-76.55]
Paraguay,1980,Female,60.32 [54.69-66.62]
Paraguay,1979,Both sexes,66.77 [60.92-73.63]
Paraguay,1979,Male,71.26 [64.76-78.78]
Paraguay,1979,Female,62.16 [56.33-68.74]
Paraguay,1978,Both sexes,68.5 [62.52-75.52]
Paraguay,1978,Male,73 [66.29-80.73]
Paraguay,1978,Female,63.83 [57.92-70.61]
Paraguay,1977,Both sexes,70.12 [63.95-77.17]
Paraguay,1977,Male,74.64 [67.85-82.46]
Paraguay,1977,Female,65.35 [59.29-72.28]
Paraguay,1976,Both sexes,71.58 [65.37-78.7]
Paraguay,1976,Male,76.15 [69.29-84.02]
Paraguay,1976,Female,66.8 [60.67-73.8]
Paraguay,1975,Both sexes,72.96 [66.71-79.99]
Paraguay,1975,Male,77.59 [70.69-85.39]
Paraguay,1975,Female,68.1 [62.01-75.03]
Paraguay,1974,Both sexes,74.19 [67.96-81.11]
Paraguay,1974,Male,78.83 [71.93-86.5]
Paraguay,1974,Female,69.32 [63.22-76.24]
Paraguay,1973,Both sexes,75.28 [69.04-82.19]
Paraguay,1973,Male,80.01 [73.06-87.63]
Paraguay,1973,Female,70.32 [64.18-77.28]
Paraguay,1972,Both sexes,76.24 [69.98-83.16]
Paraguay,1972,Male,81 [74.08-88.53]
Paraguay,1972,Female,71.28 [65.15-78.16]
Paraguay,1971,Both sexes,77.03 [70.83-83.95]
Paraguay,1971,Male,81.85 [74.98-89.47]
Paraguay,1971,Female,72.03 [65.89-78.88]
Paraguay,1970,Both sexes,77.71 [71.53-84.56]
Paraguay,1970,Male,82.53 [75.7-90.12]
Paraguay,1970,Female,72.58 [66.47-79.49]
Paraguay,1969,Both sexes,78.27 [72.05-85.03]
Paraguay,1969,Male,83.11 [76.23-90.67]
Paraguay,1969,Female,73.08 [66.96-80.03]
Paraguay,1968,Both sexes,78.66 [72.41-85.47]
Paraguay,1968,Male,83.54 [76.52-91.19]
Paraguay,1968,Female,73.53 [67.26-80.46]
Paraguay,1967,Both sexes,79 [72.59-85.88]
Paraguay,1967,Male,83.89 [76.81-91.53]
Paraguay,1967,Female,73.88 [67.52-80.85]
Paraguay,1966,Both sexes,79.32 [72.71-86.26]
Paraguay,1966,Male,84.24 [76.98-91.97]
Paraguay,1966,Female,74.11 [67.65-81.18]
Paraguay,1965,Both sexes,79.68 [72.85-86.77]
Paraguay,1965,Male,84.6 [77.1-92.53]
Paraguay,1965,Female,74.42 [67.68-81.61]
Paraguay,1964,Both sexes,80.02 [72.92-87.5]
Paraguay,1964,Male,85.02 [77.19-93.21]
Paraguay,1964,Female,74.73 [67.68-82.08]
Paraguay,1963,Both sexes,80.43 [72.84-88.28]
Paraguay,1963,Male,85.44 [77.11-94.09]
Paraguay,1963,Female,75.13 [67.77-82.93]
Paraguay,1962,Both sexes,80.98 [72.94-89.32]
Paraguay,1962,Male,85.96 [77.15-95.16]
Paraguay,1962,Female,75.61 [67.81-83.75]
Paraguay,1961,Both sexes,81.53 [72.98-90.6]
Paraguay,1961,Male,86.58 [77.12-96.63]
Paraguay,1961,Female,76.2 [67.82-85.03]
Paraguay,1960,Both sexes,82.27 [72.96-92.28]
Paraguay,1960,Male,87.33 [77.01-98.34]
Paraguay,1960,Female,76.88 [67.9-86.69]
Paraguay,1959,Both sexes,83.13 [72.76-94.44]
Paraguay,1959,Male,88.27 [76.85-100.7]
Paraguay,1959,Female,77.71 [67.76-88.68]
Paraguay,1958,Both sexes,84.05 [72.47-96.86]
Paraguay,1958,Male,89.21 [76.61-103.2]
Paraguay,1958,Female,78.63 [67.49-90.94]
Paraguay,1957,Both sexes,85.06 [71.94-99.71]
Paraguay,1957,Male,90.22 [76.1-106.1]
Paraguay,1957,Female,79.55 [67.08-93.53]
Paraguay,1956,Both sexes,86.04 [71.23-103.2]
Paraguay,1956,Male,91.25 [75.48-109.8]
Paraguay,1956,Female,80.51 [66.47-96.72]
Peru,2019,Both sexes,13.22 [10.72-16.45]
Peru,2019,Male,14.45 [11.7-18.04]
Peru,2019,Female,11.93 [9.64-14.89]
Peru,2018,Both sexes,13.75 [11.45-16.63]
Peru,2018,Male,15.04 [12.48-18.26]
Peru,2018,Female,12.4 [10.3-15.04]
Peru,2017,Both sexes,14.34 [12.2-16.95]
Peru,2017,Male,15.69 [13.33-18.56]
Peru,2017,Female,12.92 [10.98-15.33]
Peru,2016,Both sexes,14.97 [13.01-17.32]
Peru,2016,Male,16.39 [14.23-18.96]
Peru,2016,Female,13.49 [11.71-15.67]
Peru,2015,Both sexes,15.67 [13.88-17.72]
Peru,2015,Male,17.14 [15.14-19.43]
Peru,2015,Female,14.1 [12.46-16.04]
Peru,2014,Both sexes,16.4 [14.75-18.25]
Peru,2014,Male,17.97 [16.11-20]
Peru,2014,Female,14.75 [13.24-16.49]
Peru,2013,Both sexes,17.18 [15.65-18.84]
Peru,2013,Male,18.81 [17.1-20.66]
Peru,2013,Female,15.45 [14.05-17.04]
Peru,2012,Both sexes,18 [16.57-19.55]
Peru,2012,Male,19.72 [18.11-21.46]
Peru,2012,Female,16.19 [14.86-17.68]
Peru,2011,Both sexes,18.9 [17.55-20.37]
Peru,2011,Male,20.72 [19.18-22.4]
Peru,2011,Female,17 [15.72-18.39]
Peru,2010,Both sexes,19.9 [18.58-21.33]
Peru,2010,Male,21.82 [20.29-23.45]
Peru,2010,Female,17.89 [16.63-19.24]
Peru,2009,Both sexes,21.02 [19.68-22.42]
Peru,2009,Male,23.03 [21.53-24.64]
Peru,2009,Female,18.91 [17.64-20.22]
Peru,2008,Both sexes,22.25 [20.9-23.69]
Peru,2008,Male,24.36 [22.83-25.99]
Peru,2008,Female,20.03 [18.73-21.38]
Peru,2007,Both sexes,23.61 [22.18-25.11]
Peru,2007,Male,25.83 [24.22-27.54]
Peru,2007,Female,21.26 [19.89-22.69]
Peru,2006,Both sexes,25.1 [23.61-26.69]
Peru,2006,Male,27.4 [25.69-29.21]
Peru,2006,Female,22.7 [21.25-24.21]
Peru,2005,Both sexes,26.76 [25.14-28.46]
Peru,2005,Male,29.19 [27.35-31.13]
Peru,2005,Female,24.21 [22.65-25.85]
Peru,2004,Both sexes,28.59 [26.84-30.41]
Peru,2004,Male,31.11 [29.13-33.16]
Peru,2004,Female,25.95 [24.26-27.69]
Peru,2003,Both sexes,30.64 [28.73-32.6]
Peru,2003,Male,33.31 [31.15-35.49]
Peru,2003,Female,27.86 [26.05-29.73]
Peru,2002,Both sexes,32.96 [30.93-35.02]
Peru,2002,Male,35.69 [33.42-38]
Peru,2002,Female,30.09 [28.15-32.06]
Peru,2001,Both sexes,35.56 [33.43-37.74]
Peru,2001,Male,38.47 [36.12-40.9]
Peru,2001,Female,32.52 [30.47-34.6]
Peru,2000,Both sexes,38.49 [36.28-40.81]
Peru,2000,Male,41.5 [39.03-44.06]
Peru,2000,Female,35.35 [33.23-37.55]
Peru,1999,Both sexes,41.77 [39.48-44.21]
Peru,1999,Male,44.91 [42.35-47.62]
Peru,1999,Female,38.5 [36.27-40.87]
Peru,1998,Both sexes,45.41 [42.99-48.04]
Peru,1998,Male,48.67 [45.95-51.56]
Peru,1998,Female,41.99 [39.66-44.53]
Peru,1997,Both sexes,49.35 [46.76-52.22]
Peru,1997,Male,52.67 [49.78-55.79]
Peru,1997,Female,45.88 [43.38-48.66]
Peru,1996,Both sexes,53.59 [50.77-56.65]
Peru,1996,Male,56.97 [53.86-60.35]
Peru,1996,Female,50.01 [47.3-53.02]
Peru,1995,Both sexes,57.99 [54.92-61.32]
Peru,1995,Male,61.47 [58.08-65.1]
Peru,1995,Female,54.34 [51.37-57.6]
Peru,1994,Both sexes,62.51 [59.2-66.08]
Peru,1994,Male,66.04 [62.38-69.97]
Peru,1994,Female,58.79 [55.55-62.31]
Peru,1993,Both sexes,67.06 [63.54-70.86]
Peru,1993,Male,70.65 [66.84-74.83]
Peru,1993,Female,63.23 [59.77-66.9]
Peru,1992,Both sexes,71.55 [67.86-75.49]
Peru,1992,Male,75.32 [71.36-79.61]
Peru,1992,Female,67.59 [63.94-71.46]
Peru,1991,Both sexes,75.96 [72.13-80.02]
Peru,1991,Male,79.86 [75.75-84.26]
Peru,1991,Female,71.86 [68.06-75.79]
Peru,1990,Both sexes,80.34 [76.34-84.59]
Peru,1990,Male,84.41 [80.11-88.98]
Peru,1990,Female,76.12 [72.08-80.26]
Peru,1989,Both sexes,84.78 [80.6-89.24]
Peru,1989,Male,88.97 [84.45-93.77]
Peru,1989,Female,80.4 [76.24-84.74]
Peru,1988,Both sexes,89.37 [84.98-94.11]
Peru,1988,Male,93.66 [88.95-98.69]
Peru,1988,Female,84.92 [80.49-89.53]
Peru,1987,Both sexes,94.35 [89.65-99.29]
Peru,1987,Male,98.74 [93.74-104.1]
Peru,1987,Female,89.75 [85.03-94.6]
Peru,1986,Both sexes,99.67 [94.77-104.8]
Peru,1986,Male,104.2 [98.89-109.7]
Peru,1986,Female,94.95 [90.02-100.1]
Peru,1985,Both sexes,105.1 [99.86-110.5]
Peru,1985,Male,109.8 [104.2-115.6]
Peru,1985,Female,100.2 [94.95-105.6]
Peru,1984,Both sexes,110.3 [104.8-116.1]
Peru,1984,Male,115.1 [109.1-121.3]
Peru,1984,Female,105.3 [99.79-111.1]
Peru,1983,Both sexes,115.1 [109.3-121.3]
Peru,1983,Male,120 [113.7-126.5]
Peru,1983,Female,110 [104.1-116.1]
Peru,1982,Both sexes,119.4 [113.3-125.7]
Peru,1982,Male,124.3 [117.7-131]
Peru,1982,Female,114.2 [108.1-120.6]
Peru,1981,Both sexes,123 [116.7-129.5]
Peru,1981,Male,128.1 [121.3-135]
Peru,1981,Female,117.7 [111.4-124.4]
Peru,1980,Both sexes,126.1 [119.6-132.9]
Peru,1980,Male,131.3 [124.3-138.5]
Peru,1980,Female,120.8 [114.2-127.5]
Peru,1979,Both sexes,129 [122.4-136]
Peru,1979,Male,134.3 [127.1-141.7]
Peru,1979,Female,123.5 [116.9-130.5]
Peru,1978,Both sexes,132 [125-139.1]
Peru,1978,Male,137.3 [129.9-144.9]
Peru,1978,Female,126.3 [119.4-133.5]
Peru,1977,Both sexes,135 [127.8-142.4]
Peru,1977,Male,140.5 [132.8-148.5]
Peru,1977,Female,129.2 [122-136.6]
Peru,1976,Both sexes,138.4 [131-146.1]
Peru,1976,Male,144.1 [136.1-152.3]
Peru,1976,Female,132.4 [125-140.1]
Peru,1975,Both sexes,142.3 [134.7-150.3]
Peru,1975,Male,148.2 [139.9-156.7]
Peru,1975,Female,136.1 [128.4-144]
Peru,1974,Both sexes,146.6 [138.7-154.8]
Peru,1974,Male,152.9 [144.2-161.6]
Peru,1974,Female,140.1 [132.1-148.3]
Peru,1973,Both sexes,151.3 [143-159.7]
Peru,1973,Male,157.8 [148.9-166.9]
Peru,1973,Female,144.5 [136.2-152.9]
Peru,1972,Both sexes,156.1 [147.4-164.9]
Peru,1972,Male,162.8 [153.5-172.4]
Peru,1972,Female,149 [140.4-157.7]
Peru,1971,Both sexes,160.9 [151.8-170.1]
Peru,1971,Male,167.7 [157.9-177.7]
Peru,1971,Female,153.6 [144.6-162.8]
Peru,1970,Both sexes,165.6 [156.1-175.4]
Peru,1970,Male,172.7 [162.6-183.1]
Peru,1970,Female,158.1 [148.8-167.9]
Peru,1969,Both sexes,170.6 [160.6-180.7]
Peru,1969,Male,177.8 [167.2-188.8]
Peru,1969,Female,162.9 [153-173.1]
Peru,1968,Both sexes,175.7 [165.3-186.3]
Peru,1968,Male,183.2 [172-194.7]
Peru,1968,Female,167.8 [157.5-178.5]
Peru,1967,Both sexes,181.3 [170.5-192.5]
Peru,1967,Male,189 [177.2-201]
Peru,1967,Female,173.1 [162.4-184.4]
Peru,1966,Both sexes,187.4 [175.8-199.2]
Peru,1966,Male,195.1 [182.8-207.9]
Peru,1966,Female,179.2 [167.9-191]
Peru,1965,Both sexes,193.8 [181.6-206.6]
Peru,1965,Male,201.8 [188.6-215.5]
Peru,1965,Female,185.6 [173.6-198.2]
Peru,1964,Both sexes,200.6 [187.8-214.3]
Peru,1964,Male,208.7 [194.7-223.5]
Peru,1964,Female,192.3 [179.4-206]
Peru,1963,Both sexes,207.6 [193.6-222.5]
Peru,1963,Male,215.6 [200.6-231.8]
Peru,1963,Female,199.1 [185.2-214.2]
Peru,1962,Both sexes,214.5 [199.2-231]
Peru,1962,Male,222.5 [206.3-240.3]
Peru,1962,Female,205.9 [190.8-222.3]
Peru,1961,Both sexes,221.2 [204.6-239.1]
Peru,1961,Male,229.2 [211.7-248.5]
Peru,1961,Female,212.6 [196.2-230.4]
Peru,1960,Both sexes,227.6 [209.6-247.1]
Peru,1960,Male,235.9 [216.7-256.8]
Peru,1960,Female,219.1 [201.1-238.5]
Peru,1959,Both sexes,234.2 [214.4-255.5]
Peru,1959,Male,242.3 [221.6-265.2]
Peru,1959,Female,225.6 [205.9-246.2]
Peru,1958,Both sexes,241.1 [219.3-263.9]
Peru,1958,Male,249.3 [226.5-274]
Peru,1958,Female,232.6 [211-255.1]
Peru,1957,Both sexes,249 [225.1-273.9]
Peru,1957,Male,257.2 [232.3-284.2]
Peru,1957,Female,240.3 [216.8-264.9]
Peru,1956,Both sexes,257.9 [231.7-285.8]
Peru,1956,Male,266.3 [239.1-295.9]
Peru,1956,Female,249 [223.3-276.4]
Peru,1955,Both sexes,268.2 [239-299.3]
Peru,1955,Male,276.6 [246.1-309.9]
Peru,1955,Female,259.1 [230.9-289.8]
Peru,1954,Both sexes,279.6 [247-314.8]
Peru,1954,Male,288.1 [254-325.6]
Peru,1954,Female,270.4 [238-305.4]
Peru,1953,Both sexes,291.7 [254.4-333.7]
Peru,1953,Male,300.5 [261.5-344.1]
Peru,1953,Female,282.4 [245.8-323.7]
Peru,1952,Both sexes,304.8 [261-355.4]
Peru,1952,Male,313.6 [267.9-366.6]
Peru,1952,Female,295 [252.3-345.1]
Philippines,2019,Both sexes,27.28 [20.67-36.12]
Philippines,2019,Male,30.14 [22.76-39.96]
Philippines,2019,Female,24.29 [18.39-32.31]
Philippines,2018,Both sexes,28.04 [21.89-36.02]
Philippines,2018,Male,30.98 [24.09-39.75]
Philippines,2018,Female,24.97 [19.46-32.13]
Philippines,2017,Both sexes,28.73 [23.1-35.78]
Philippines,2017,Male,31.7 [25.39-39.51]
Philippines,2017,Female,25.6 [20.52-32.01]
Philippines,2016,Both sexes,29.32 [24.18-35.49]
Philippines,2016,Male,32.35 [26.6-39.27]
Philippines,2016,Female,26.14 [21.5-31.76]
Philippines,2015,Both sexes,29.83 [25.18-35.2]
Philippines,2015,Male,32.88 [27.7-38.87]
Philippines,2015,Female,26.58 [22.41-31.48]
Philippines,2014,Both sexes,30.17 [26.11-34.84]
Philippines,2014,Male,33.23 [28.66-38.46]
Philippines,2014,Female,27.01 [23.32-31.31]
Philippines,2013,Both sexes,30.56 [26.93-34.69]
Philippines,2013,Male,33.64 [29.56-38.29]
Philippines,2013,Female,27.34 [24.02-31.17]
Philippines,2012,Both sexes,30.96 [27.71-34.68]
Philippines,2012,Male,34.05 [30.36-38.29]
Philippines,2012,Female,27.69 [24.66-31.17]
Philippines,2011,Both sexes,31.34 [28.3-34.82]
Philippines,2011,Male,34.51 [31-38.38]
Philippines,2011,Female,28.02 [25.21-31.23]
Philippines,2010,Both sexes,31.73 [28.84-35.02]
Philippines,2010,Male,34.93 [31.59-38.61]
Philippines,2010,Female,28.37 [25.69-31.43]
Philippines,2009,Both sexes,32.14 [29.33-35.26]
Philippines,2009,Male,35.39 [32.14-38.94]
Philippines,2009,Female,28.71 [26.12-31.71]
Philippines,2008,Both sexes,32.59 [29.82-35.68]
Philippines,2008,Male,35.89 [32.7-39.34]
Philippines,2008,Female,29.12 [26.56-32.06]
Philippines,2007,Both sexes,33.08 [30.35-36.16]
Philippines,2007,Male,36.37 [33.25-39.76]
